test_case,qsat_runtime (sec),minisat_runtime (sec),qsat_mem (Mbyte),minisat_mem (Mbyte),runtime_slowdown (qsat/minisat),mem_usage_diff (qsat/minisat)
s3-3-3-10.cnf,11.8487,0.0845,61.90,5.94,140.2666,10.42
s3-3-3-1.cnf,0.6289,0.1113,11.64,5.93,5.6522,1.96
s3-3-3-3.cnf,0.2012,0.3640,6.91,6.75,0.5529,1.02
s3-3-3-4.cnf,1.4096,0.1120,15.61,6.02,12.5854,2.59
s3-3-3-8.cnf,1.7827,0.1222,21.20,6.40,14.5939,3.31
fpga10_8_sat.cnf,0.0806,0.0048,5.44,4.08,16.7885,1.33
fpga10_9_sat.cnf,0.8454,0.0050,13.42,4.17,169.5322,3.22
fpga12_8_sat.cnf,1.4690,0.0048,15.65,4.27,307.1663,3.67
fpga12_9_sat.cnf,1.9128,0.0070,20.01,4.43,274.0073,4.52
fpga12_11_sat.cnf,109.2093,0.0058,197.80,4.28,18944.4159,46.17
fpga12_12_sat.cnf,34.4998,0.0093,100.86,4.37,3708.3322,23.07
fpga13_9_sat.cnf,4.6593,0.0049,35.43,4.42,947.8786,8.01
fpga13_10_sat.cnf,8.4649,0.0050,52.12,4.23,1689.4695,12.33
fpga13_12_sat.cnf,102.5636,0.0072,199.57,4.42,14160.0729,45.11
chnl10_11.cnf,5.5419,65.1360,25.25,9.53,0.0851,2.65
chnl10_12.cnf,5.6893,202.6308,27.90,15.24,0.0281,1.83
chnl10_13.cnf,9.1179,491.6049,34.75,17.23,0.0185,2.02
hole7.cnf,0.0269,0.0393,4.04,4.17,0.6844,0.97
hole8.cnf,0.1515,0.2781,5.26,4.31,0.5448,1.22
hole9.cnf,1.2640,1.7368,12.58,4.95,0.7278,2.54
Urq3_5.cnf,525.0011,72.1564,521.43,6.11,7.2759,85.37
uf50-218/uf50-01.cnf,0.0031,0.0042,3.57,3.82,0.7546,0.93
uf50-218/uf50-010.cnf,0.0031,0.0042,3.59,3.86,0.7441,0.93
uf50-218/uf50-0100.cnf,0.0031,0.0042,3.53,3.83,0.7432,0.92
uf50-218/uf50-01000.cnf,0.0032,0.0043,3.50,3.97,0.7560,0.88
uf50-218/uf50-0101.cnf,0.0031,0.0041,3.66,3.85,0.7480,0.95
uf50-218/uf50-0102.cnf,0.0031,0.0043,3.58,3.86,0.7198,0.93
uf50-218/uf50-0103.cnf,0.0031,0.0041,3.49,3.83,0.7464,0.91
uf50-218/uf50-0104.cnf,0.0032,0.0043,3.57,3.82,0.7418,0.93
uf50-218/uf50-0105.cnf,0.0032,0.0044,3.57,3.81,0.7239,0.94
uf50-218/uf50-0106.cnf,0.0032,0.0041,3.57,3.90,0.7674,0.92
uf50-218/uf50-0107.cnf,0.0032,0.0042,3.54,3.92,0.7536,0.90
uf50-218/uf50-0108.cnf,0.0031,0.0041,3.57,3.96,0.7541,0.90
uf50-218/uf50-0109.cnf,0.0032,0.0042,3.61,3.80,0.7712,0.95
uf50-218/uf50-011.cnf,0.0031,0.0042,3.57,3.92,0.7436,0.91
uf50-218/uf50-0110.cnf,0.0031,0.0042,3.57,3.86,0.7437,0.93
uf50-218/uf50-0111.cnf,0.0031,0.0043,3.56,3.86,0.7236,0.92
uf50-218/uf50-0112.cnf,0.0031,0.0042,3.52,3.90,0.7507,0.90
uf50-218/uf50-0113.cnf,0.0032,0.0041,3.55,3.90,0.7760,0.91
uf50-218/uf50-0114.cnf,0.0032,0.0042,3.49,3.82,0.7673,0.91
uf50-218/uf50-0115.cnf,0.0031,0.0042,3.57,3.90,0.7471,0.92
uf50-218/uf50-0116.cnf,0.0032,0.0041,3.62,3.82,0.7685,0.95
uf50-218/uf50-0117.cnf,0.0031,0.0041,3.58,3.85,0.7504,0.93
uf50-218/uf50-0118.cnf,0.0032,0.0042,3.66,3.97,0.7656,0.92
uf50-218/uf50-0119.cnf,0.0031,0.0041,3.56,3.91,0.7450,0.91
